major_id,sequence_number,name,description,is_active,notes,effective_term_id,end_term_id,required_course_id
4,25,FIN-420 - Financial Management II,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,67
4,27,FIN-442A - Risk Management & Insurance,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,69
4,28,FIN-443 - Bank Operations,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,70
4,29,FIN-444 - Business Decision Analysis,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,71
4,30,FIN-445 - Investment Principles & Portfolio Management,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,72
4,31,FIN-453 - Money, Banking and Financial Markets,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,73
4,32,FIN-489 - Senior Project,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,74
4,33,HF-101 - Health Education I,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,75
4,34,HIST-230 - History of Cambodia,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,77
4,35,KHMR-210 - Introduction to Khmer Studies,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,84
4,36,LAW-273 - Business Law,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,85
4,38,MATH-101 - College Algebra,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,91
4,39,MGT-210 - Management Principles,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,92
4,40,MGT-466 - Management and Leadership Development Skills,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,93
4,41,MKT-220 - Introduction to Marketing,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,96
4,42,NATS-102 - Introduction to Environmental Science,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,97
4,43,PHIL-110 - Logic & Critical Thinking,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,100
4,44,PHIL-312 - Introduction to Ethics,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,103
4,45,POL-101 - Introduction to Political Science,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,104
4,46,POL-201A - ASEAN Government, Politics and Economics,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,106
4,47,PSYC-102 - Personal Growth and Development,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,113
4,48,SOC-110 - Gender Studies,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,115
4,49,STAT-105 - Introduction to Statistics,Required course for Finance and Banking degree program,true,Imported from ba_req.csv column 'fin',177,,117
5,1,ANTH-102 - Cultural Anthropology,,true,,177,,15
